A,B,C,D
Mozambique,220,50,CFM
Myanmar (formerly Burma),230,50,ACDGI
Namibia,220,50,DM
Nauru,240,50,I
Nepal,230,50,CDM
Netherlands,230,50,CF
New Caledonia,220,50,CF
New Zealand,230,50,I
Nicaragua,120,60,AB
Niger,220,50,CDEF
Nigeria,230,50,DG
Niue,230,50,I
Norfolk Island,230,50,I
North Cyprus,230,50,G
Northern Ireland,230,50,G
North Korea,220,50,C
North Macedonia,230,50,CF
Norway,230,50,CF
Oman,240,50,G
Pakistan,230,50,CDPalau,120,60,AB
Palestine,230,50,CH
Panama,120,60,AB
Papua New Guinea,240,50,I
Paraguay,220,50,C
Peru,220,60,ABC
Philippines,220,60,ABC
Pitcairn Islands,230,50,I
Poland,230,50,CE
Portugal,230,50,CF
Puerto Rico,120,60,AB
Qatar,240,50,G
Réunion,230,50,CE
Romania,230,50,CF
Russia,220,50,CF
Rwanda,230,50,CEFG
Saba,110,60,AB
Saint Barthélemy,230,60,CE
Saint Kitts and Nevis,230,60,DG
Saint Lucia,230,50,G
Saint Martin,220,60,CE
Saint Helena,230,50,G
Sint Eustatius,110 220,60,ABCF
Sint Maarten,110,60,AB
Saintincent and the Grenadines,110,50,ABG
Samoa,230,50,I
San Marino,230,50,CFL
São Tomé and Príncipe,230,50,CF
Saudi Arabia,220,60,G
Scotland,230,50,G
Senegal,230,50,CDEK
Serbia,230,50,CF
Seychelles,240,50,G
Sierra Leone,230,50,DG
Singapore,230,50,G
Slovakia,230,50,CE
Slovenia,230,50,CF
Solomon Islands,230,50,GI
Somalia,220,50,G
Somaliland,220,50,G
South Africa,230,50,CM
South Korea,220,60,F
South Sudan,230,50,CDSpain,230,50,CF
Sri Lanka,230,50,G
Sudan,230,50,CDSuriname,127 220,60,ABCF
Swaziland,230,50,M
Sweden,230,50,CF
Switzerland,230,50,CJ
Syria,220,50,CEL
Tahiti,220,50 60,CE
Taiwan,110,60,AB
Tajikistan,220,50,CF
Tanzania,230,50,DG
Thailand,230,50,ABCO
Togo,220,50,C
Tokelau,230,50,I
Tonga,240,50,I
Trinidad & Tobago,115,60,AB
Tunisia,230,50,CE
Turkey,230,50,CF
Turkmenistan,220,50,CF
Turks and Caicos Islands,120,60,AB
Tuvalu,230,50,I
Uganda,240,50,G
Ukraine,230,50,CF
United Arab Emirates,230,50,G
United Kingdom,230,50,G
United States of America,120,60,AB
United States Virgin Islands,110,60,AB
Uruguay,220,50,CFL
Uzbekistan,220,50,CF
Vanuatu,230,50,I
Vatican City,230,50,CFL
Venezuela,120,60,AB
Vietnam,220,50,ABC
Virgin Islands,110,60,AB
Wales,230,50,G
Western Sahara,220,50,CE
Yemen,230,50,ADG
Zambia,230,50,CDG
Zimbabwe,240,50,DG
